BugID,Bug ID Link,Vulnerability ID,Changeset ID
1100409,https://hg.mozilla.org/mozilla-central/rev/874e07bec1cc,CVE-2014-8640,874e07bec1ccefec52dfe045e9f735039ece83b1
1105045,https://hg.mozilla.org/mozilla-central/rev/dc21224de25b,CVE-2015-4502,dc21224de25bd42bb8ad4728c71988dfdb26ea26
1108455,https://hg.mozilla.org/mozilla-central/rev/d77fe45d2ab5,CVE-2014-8641,d77fe45d2ab55cd3eddf3e87af91182a5e176f58
1108455,https://hg.mozilla.org/mozilla-central/rev/c233ca053f7c,CVE-2014-8641,c233ca053f7c5f19896e32a3367e74778d05f156
1109552,https://hg.mozilla.org/mozilla-central/rev/f42c4aa524f6,CVE-2015-0808,f42c4aa524f64b2f9c400a8e4a63d6f171bd7503
1110212,https://hg.mozilla.org/mozilla-central/rev/ee4fe2ec168e,CVE-2015-0800,ee4fe2ec168e719e822dabcdd797c0cff9ce2407
1110212,https://hg.mozilla.org/mozilla-central/rev/b58098a4ca40,CVE-2015-0800,b58098a4ca40663f16d5901c20dcf2ef88cdcfba
1110488,https://hg.mozilla.org/mozilla-central/rev/bb194bedf519,CVE-2015-0830,bb194bedf519024d7969c3f8b4f1b33e41889129
1110557,https://hg.mozilla.org/mozilla-central/rev/7f0738c201eb,CVE-2015-0822,7f0738c201ebb013e201a14173edc21aad0bbee4
1111834,https://hg.mozilla.org/mozilla-central/rev/ac621df2174a,CVE-2015-0807,ac621df2174afebd1530a2b1f731927ab996031b
1113431,https://hg.mozilla.org/mozilla-central/rev/6a170ee249b2,CVE-2015-2711,6a170ee249b2efeb91ecf9261d5184dc7d1eed06
1113431,https://hg.mozilla.org/mozilla-central/rev/3019cfbbfd0d,CVE-2015-2711,3019cfbbfd0db7444c7c15a914f2409c01fbb4e6
1113431,https://hg.mozilla.org/mozilla-central/rev/4b5850a205d0,CVE-2015-2711,4b5850a205d0920f80e15333a5fc5509b4db9103
1116385,https://hg.mozilla.org/mozilla-central/rev/52917169ff8d,CVE-2016-1941,52917169ff8dc926ba6202b39f99644eceb79959
1117140,https://hg.mozilla.org/mozilla-central/rev/6c8f62d7fd1c,CVE-2014-8643,6c8f62d7fd1cb82189e58ba5591b9e1769a187de
1117304,https://hg.mozilla.org/mozilla-central/rev/1e2e5169edf8,CVE-2015-0827,1e2e5169edf8202110a15c2c6e88edc0fcc6ef01
1117304,https://hg.mozilla.org/mozilla-central/rev/144dea01fcbf,CVE-2015-0827,144dea01fcbf11a3a53082cba9be458066b1422b
1122218,https://hg.mozilla.org/mozilla-central/rev/c48d5ce78376,CVE-2015-2729,c48d5ce78376f7e19afc4702c7940db2f0838726
1124898,https://hg.mozilla.org/mozilla-central/rev/adba768607dc,CVE-2015-0802,adba768607dcd0310f633854777a37b626199db4
1124898,https://hg.mozilla.org/mozilla-central/rev/bab6997a3bf8,CVE-2015-0802,bab6997a3bf814e61fb8bcb559870c425d030a1d
1125389,https://hg.mozilla.org/mozilla-central/rev/51ac953371fe,CVE-2015-0820,51ac953371fe498d244c1fa9abcdbb42ac2a9df8
1127481,https://hg.mozilla.org/mozilla-central/rev/34da940cd412,CVE-2015-2720,34da940cd412cfad9b6db7be1027b2d7c753973b
1128126,https://hg.mozilla.org/mozilla-central/rev/d86ac92e8a41,CVE-2015-0812,d86ac92e8a4174568c67f4c32015452b42cae311
1128939,https://hg.mozilla.org/mozilla-central/rev/d9437013657a,CVE-2015-0829,d9437013657a452e61138f28a92534fed4392c03
1130541,https://hg.mozilla.org/mozilla-central/rev/2565e56e117c,CVE-2015-0831,2565e56e117c777f84795f5cc47ea47244cfb0ef
1132467,https://hg.mozilla.org/mozilla-central/rev/83d5d84f1092,CVE-2015-4504,83d5d84f1092a1871c5aceba5a391eb413fd5f9f
1132468,https://hg.mozilla.org/mozilla-central/rev/f1170bf063bd,CVE-2015-0811,f1170bf063bd31cdffab3fa443cdf1387befd22a
1134561,https://hg.mozilla.org/mozilla-central/rev/9264aec18c62,CVE-2015-0803,9264aec18c621024190097d3b1542b5649c97a5d
1138669,https://hg.mozilla.org/mozilla-central/rev/133524b43f9c,CVE-2015-2742,133524b43f9c7f79abd60624dd3dd1335b6308f5
1140537,https://hg.mozilla.org/mozilla-central/rev/438d9e2a991a,CVE-2015-2716,438d9e2a991ab82381a1a1442a470b2565c80c13
1140616,https://hg.mozilla.org/mozilla-central/rev/51f188b7abd8,CVE-2015-7196,51f188b7abd89b3affc84838cbd56d9bd3275c0f
1141081,https://hg.mozilla.org/mozilla-central/rev/4f0b849ae2b0,CVE-2015-2706,4f0b849ae2b05362258cbb5b1bec6179dac5c981
1141081,https://hg.mozilla.org/mozilla-central/rev/ee8c9c1c2bec,CVE-2015-2706,ee8c9c1c2becc3fbc2945f7613edea1322f43bad
1142210,https://hg.mozilla.org/mozilla-central/rev/3ae4e63e37f6,CVE-2015-2728,3ae4e63e37f67bd9e8ee065b07c3a027fe58b050
1144107,https://hg.mozilla.org/mozilla-central/rev/7518d33f23de,CVE-2015-4480,7518d33f23de4ab5c6144d694a3d702bed26baab
1144107,https://hg.mozilla.org/mozilla-central/rev/299a024d4532,CVE-2015-4480,299a024d4532be625de246187f43a923e39adc75
1144107,https://hg.mozilla.org/mozilla-central/rev/e25c72e7e844,CVE-2015-4480,e25c72e7e844221d4d7bf7617637361157c18d64
1144107,https://hg.mozilla.org/mozilla-central/rev/d3ab79e463eb,CVE-2015-4480,d3ab79e463ebcf68c7e816d65a737ed6657c5e49
1144988,https://hg.mozilla.org/mozilla-central/rev/ec28e56febf1,CVE-2015-0818,ec28e56febf1efdd8406be1e5c93887befeb87a4
1144991,https://hg.mozilla.org/mozilla-central/rev/8428dce9dde0,CVE-2015-0816,8428dce9dde06458546c542040f6df4a0944a823
1144991,https://hg.mozilla.org/mozilla-central/rev/ae2217c25cee,CVE-2015-0816,ae2217c25ceee746befcc7a1abeb0acb94bbd089
1145255,https://hg.mozilla.org/mozilla-central/rev/810a0dfe489f,CVE-2015-0817,810a0dfe489fec63fbb518f64607bafa13dce3c8
1146339,https://hg.mozilla.org/mozilla-central/rev/7ee9c3fce092,CVE-2015-0801,7ee9c3fce092eafa3181bb4c551990a6e7a5a2f7
1146724,https://hg.mozilla.org/mozilla-central/rev/780cf81ab0d3,CVE-2015-2718,780cf81ab0d3ed3c6833912471c8aeb198a6e099
1147497,https://hg.mozilla.org/mozilla-central/rev/98059179549d,CVE-2015-2741,98059179549d4e550a0593d5af1977d43160e743
1148328,https://hg.mozilla.org/mozilla-central/rev/ec5d1e03d2fe,CVE-2015-0799,ec5d1e03d2fe5d123cd87da25c0801a3eab68b1c
1148732,https://hg.mozilla.org/mozilla-central/rev/b0e057eb58b1,CVE-2015-4483,b0e057eb58b1c35e8a6a78fc3ae6a2e3eca4c527
1149000,https://hg.mozilla.org/mozilla-central/rev/33817a41e2e1,CVE-2015-7185,33817a41e2e17ee5d86c27048df4feb39a24eda4
1149542,https://hg.mozilla.org/mozilla-central/rev/b08005b5d090,CVE-2015-2710,b08005b5d0903c9714eac6465288cb69f8943023
1149542,https://hg.mozilla.org/mozilla-central/rev/d084a35e8d79,CVE-2015-2710,d084a35e8d79a6ebf6c8da1785add5c6ec41420f
1149605,https://hg.mozilla.org/mozilla-central/rev/c99d19bfd6a0,CVE-2015-4496,c99d19bfd6a0e674431b1c805f714f41a9226140
1149891,https://hg.mozilla.org/mozilla-central/rev/9aad1ac832f7,CVE-2015-2731,9aad1ac832f7fa6a31473238fc20e7070689cc2c
1149891,https://hg.mozilla.org/mozilla-central/rev/8717afeef3c6,CVE-2015-2731,8717afeef3c68e6631b68239ac795dc392f6e446
1152280,https://hg.mozilla.org/mozilla-central/rev/4c5586081154,CVE-2015-2712,4c55860811547900bc80222644014ea30d106ccd
1153478,https://hg.mozilla.org/mozilla-central/rev/0ca91806d2c4,CVE-2015-2713,0ca91806d2c4d238685df624b3de3c6c5896daab
1153478,https://hg.mozilla.org/mozilla-central/rev/34a7eeb94839,CVE-2015-2713,34a7eeb94839a73d7f3626d40ae622c532b350e0
1154683,https://hg.mozilla.org/mozilla-central/rev/41787c8d077d,CVE-2015-2717,41787c8d077ddc09cbe14681617631e8c4f14cd9
1160890,https://hg.mozilla.org/mozilla-central/rev/22e8c5440405,CVE-2015-7215,22e8c544040543b89df9c046079553f861faf846
1160890,https://hg.mozilla.org/mozilla-central/rev/37c0bb092ec2,CVE-2015-7215,37c0bb092ec2b3812f095d02755d708638861906
1162372,https://hg.mozilla.org/mozilla-central/rev/d43113d59aab,CVE-2015-4476,d43113d59aabb39bc5d8c855baab358d9fc0cb8a
1163109,https://hg.mozilla.org/mozilla-central/rev/13fda43e7e95,CVE-2015-2743,13fda43e7e957947e3ad7db6d56f4aab209ec330
1163422,https://hg.mozilla.org/mozilla-central/rev/4e1245f345fa,CVE-2015-2727,4e1245f345fac79f61fed33e19169a68a793c644
1164766,https://hg.mozilla.org/mozilla-central/rev/942cacbdaef2,CVE-2015-4497,942cacbdaef2b51eab5cabe13adb4a66c67bf0b9
1166082,https://hg.mozilla.org/mozilla-central/rev/ccc7ee045063,CVE-2015-2734,ccc7ee0450635ee21ccf76feac0cdb82b6f44a32
1166900,https://hg.mozilla.org/mozilla-central/rev/a4549e040626,CVE-2015-2735,a4549e040626cbdc8999e94bb6a8cb3ab4e2841f
